ID, Title, Artist, Genre, BPM, Tags
1, Shattered Dreams, The Echoes, Pop, 120, upbeat, summer, love
2, Midnight Drive, Neon Skies, Synthwave, 130, retro, night, chill
3, Lost in Time, Aurora Falls, Indie Rock, 110, nostalgic, acoustic, dreamy
4, Electric City, Strobe Pulse, Electronic, 128, party, dance, energetic
5, Golden Horizon, Sundown Soul, Country, 95, acoustic, laid-back, storytelling
6, Heartbreak Avenue, Crimson Hearts, Rock, 140, passionate, breakup, powerful
7, Ocean Waves, Tidepool Dreams, Chillout, 85, relaxing, ambient, nature
8, Cosmic Voyage, Galaxy Bound, Psytrance, 145, trippy, space, intense
9, Urban Nights, Cityscape, Hip Hop, 100, groovy, urban, street
10, Sunset Boulevard, Violet Lights, Jazz, 75, smooth, saxophone, lounge
11, Electric Rain, Neon Nights, Synthpop, 115, futuristic, mellow, dreamy
12, Fire in the Sky, Ember Lane, Rock, 150, aggressive, guitar, solo
13, Moonlit Dunes, Desert Mirage, World, 95, ethnic, percussive, mysterious
14, Highway Run, Jetstream, Rock, 145, fast, roadtrip, freedom
15, Distant Stars, Nebula Waves, Ambient, 70, calm, space, meditation
16, Blazing Trails, Rogue Rider, Country Rock, 120, adventure, outdoors, grit
17, Digital Dreams, Pixel Storm, EDM, 128, party, futuristic, high-energy
18, Velvet Skies, Crimson Moon, Indie Pop, 110, soft, emotional, introspective
19, Runaway Heart, Silver Lines, Pop, 100, breakup, longing, heartache
20, Echoes of Yesterday, Silent Voices, Alternative, 135, dark, moody, introspective
21, Frostbite, Polar Wind, Electronic, 140, cold, sharp, minimal
22, Jungle Fever, Tropic Tides, Reggaeton, 95, dance, tropical, party
23, Galactic Beat, Space Raiders, Drum & Bass, 170, fast, space, electronic
24, Morning Dew, Whispering Pines, Folk, 80, acoustic, mellow, nature
25, Rising Sun, Zenith Point, Progressive House, 128, uplifting, dance, festival
26, Winds of Change, Storm Front, Hard Rock, 150, intense, power, anthemic
27, Suburban Escape, Pastel Roads, Indie, 110, chill, easy-going, youthful
28, Black Horizon, Shadowscape, Metal, 170, dark, heavy, distortion
29, Moonlit Serenade, Starlight Grove, Jazz, 80, romantic, smooth, saxophone
30, Crystal Waters, Blue Horizon, Ambient, 60, calm, nature, water
31, Urban Pulse, Beat Street, Hip Hop, 95, urban, groove, street
32, Silver Lining, Golden Days, Pop, 105, uplifting, bright, feel-good
33, Electric Sunset, Neon Mirage, Synthwave, 120, retro, electronic, dreamy
34, Whispering Winds, Forest Spirits, World, 85, nature, ethnic, mystical
35, Iron Will, Forge and Flame, Metal, 180, aggressive, fast, powerful
36, Crimson Horizon, Twilight Abyss, Electronic, 140, dark, synth, driving
37, Blue Skies, Cloud Runners, Pop Rock, 115, optimistic, guitar, summer
38, Flaming Roads, Dust Devils, Country Rock, 100, gritty, southern, journey
39, Deep Space, Nebula Riders, Psybient, 85, cosmic, slow, meditative
40, Glowing Embers, Firelight Tales, Folk, 75, acoustic, storytelling, warm
41, Electric Rush, Shockwave, Electro, 128, club, energetic, synth
42, Silent Nightfall, Moonlit Shores, Classical, 60, piano, soothing, night
43, Endless Highways, Rolling Thunder, Classic Rock, 140, guitar, roadtrip, solo
44, Summer Rain, Golden Shore, Soft Rock, 110, easy, acoustic, relaxing
45, Violet Dreams, Nebula Visions, Indie Pop, 115, dreamy, introspective, electronic
46, Desert Winds, Sahara Horizon, World, 100, ethnic, sand, mystery
