1, Blinding Lights, The Weeknd, Pop, 171, retro, upbeat, synth
2, Billie Jean, Michael Jackson, Pop, 117, iconic, dance, funky
3, Smells Like Teen Spirit, Nirvana, Grunge, 117, rebellious, grunge, anthem
4, Rolling in the Deep, Adele, Pop, 105, powerful, emotional, breakup
5, Hotel California, Eagles, Rock, 75, classic, acoustic, iconic
6, Bohemian Rhapsody, Queen, Rock, 144, epic, operatic, progressive
7, Shape of You, Ed Sheeran, Pop, 96, catchy, tropical, love
8, Stairway to Heaven, Led Zeppelin, Rock, 82, legendary, guitar, ballad
9, Imagine, John Lennon, Pop, 75, peace, piano, anthem
10, Uptown Funk, Mark Ronson ft. Bruno Mars, Funk, 115, groovy, dance, retro
11, Lose Yourself, Eminem, Hip Hop, 171, intense, motivational, rap
12, Sweet Child O' Mine, Guns N' Roses, Rock, 125, guitar, iconic, ballad
13, Dancing Queen, ABBA, Disco, 100, classic, upbeat, dance
14, Hotline Bling, Drake, Hip Hop, 134, catchy, mellow, pop-rap
15, Wonderwall, Oasis, Britpop, 87, nostalgic, acoustic, anthem
16, Clocks, Coldplay, Alternative, 131, piano, emotional, dreamy
17, Happy, Pharrell Williams, Pop, 160, cheerful, upbeat, feel-good
18, Hey Jude, The Beatles, Rock, 72, anthemic, sing-along, classic
19, Thunderstruck, AC/DC, Rock, 134, energetic, guitar, powerful
20, Despacito, Luis Fonsi ft. Daddy Yankee, Reggaeton, 89, summer, dance, Latin
21, Can't Stop the Feeling!, Justin Timberlake, Pop, 113, fun, upbeat, dance
22, Someone Like You, Adele, Pop, 67, emotional, piano, breakup
23, Take On Me, A-ha, Synthpop, 169, retro, catchy, 80s
24, Hips Don't Lie, Shakira, Latin Pop, 100, dance, catchy, Latin
25, Back in Black, AC/DC, Rock, 94, powerful, guitar, anthemic
26, Superstition, Stevie Wonder, Funk, 100, groovy, soulful, funky
27, I Will Always Love You, Whitney Houston, Pop, 67, emotional, ballad, iconic
28, Africa, Toto, Rock, 92, nostalgic, 80s, sing-along
29, Lose Yourself to Dance, Daft Punk ft. Pharrell Williams, Funk, 100, groovy, electronic, retro
30, Creep, Radiohead, Alternative Rock, 92, moody, grunge, introspective
31, Seven Nation Army, The White Stripes, Rock, 124, guitar, anthemic, alternative
32, Beat It, Michael Jackson, Rock, 139, energetic, guitar, dance
33, Thinking Out Loud, Ed Sheeran, Pop, 79, romantic, acoustic, wedding
34, Roxanne, The Police, Reggae Rock, 83, classic, rock, reggae
35, Yesterday, The Beatles, Pop, 85, nostalgic, acoustic, ballad
36, Bad Guy, Billie Eilish, Pop, 135, dark, catchy, bass-heavy
37, Don't Stop Believin', Journey, Rock, 118, anthemic, sing-along, classic
38, Time, Hans Zimmer, Soundtrack, 60, cinematic, orchestral, epic
39, Bad Romance, Lady Gaga, Pop, 119, dance, catchy, anthemic
40, Rolling Stone, The Rolling Stones, Rock, 113, classic, bluesy, rebellious
41, Good 4 U, Olivia Rodrigo, Pop Punk, 170, angsty, energetic, breakup
42, Lean On, Major Lazer & DJ Snake ft. MØ, EDM, 98, tropical, dance, summer
43, Lose My Breath, Destiny's Child, R&B, 120, energetic, dance, powerful
44, Let Her Go, Passenger, Indie Folk, 75, acoustic, emotional, ballad
45, Radioactive, Imagine Dragons, Alternative, 136, powerful, electronic, rock
